,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
0,8/12/2023,21:00,Ligue 1,Matchweek 1,Sat,Home,D,0,0,Lorient,1.2,0.1,78,47000,Danilo Pereira,3/3/2004,Bastien Dechepy,Match Report,,20,4,18.9,1,0,0,2024,Paris Saint Germain
1,8/19/2023,21:00,Ligue 1,Matchweek 2,Sat,Away,D,1,1,Toulouse,2.1,1.2,76,27332,Marquinhos,3/3/2004,Thomas Léonard,Match Report,,15,2,15.9,0,1,1,2024,Paris Saint Germain
2,8/26/2023,21:00,Ligue 1,Matchweek 3,Sat,Home,W,3,1,Lens,1.5,0.5,66,47864,Marquinhos,4/2/2004,François Letexier,Match Report,,17,6,19.9,1,0,0,2024,Paris Saint Germain
3,9/3/2023,20:45,Ligue 1,Matchweek 4,Sun,Away,W,4,1,Lyon,4.5,2.1,69,51657,Marquinhos,4/2/2004,Eric Wattellier,Match Report,,21,7,16,0,1,1,2024,Paris Saint Germain
4,9/15/2023,21:00,Ligue 1,Matchweek 5,Fri,Home,L,2,3,Nice,1,1.3,69,47874,Kylian Mbappé,3/3/2004,Clément Turpin,Match Report,,12,3,20.6,1,0,0,2024,Paris Saint Germain
6,9/24/2023,20:45,Ligue 1,Matchweek 6,Sun,Home,W,4,0,Marseille,1.9,0.7,76,47000,Marquinhos,4/2/2004,Willy Delajod,Match Report,,15,5,18.5,2,0,0,2024,Paris Saint Germain
7,9/30/2023,17:00,Ligue 1,Matchweek 7,Sat,Away,D,0,0,Clermont Foot,3,1,67,10757,Marquinhos,4/2/2004,Marc Bollengier,Match Report,,21,10,16.7,0,0,0,2024,Paris Saint Germain
9,10/8/2023,20:45,Ligue 1,Matchweek 8,Sun,Away,W,3,1,Rennes,3.5,1.1,58,27734,Marquinhos,3/3/2004,Benoît Bastien,Match Report,,17,7,15.5,1,0,0,2024,Paris Saint Germain
10,10/21/2023,17:00,Ligue 1,Matchweek 9,Sat,Home,W,3,0,Strasbourg,2,0.4,76,41261,Marquinhos,4-2-2-2,Bastien Dechepy,Match Report,,7,3,14.1,0,1,1,2024,Paris Saint Germain
12,10/29/2023,13:00,Ligue 1,Matchweek 10,Sun,Away,W,3,2,Brest,2.1,1.8,56,15183,Kylian Mbappé,4-2-2-2,Jérôme Brisard,Match Report,,16,9,18.2,0,0,1,2024,Paris Saint Germain
13,11/3/2023,21:00,Ligue 1,Matchweek 11,Fri,Home,W,3,0,Montpellier,1.1,0.5,70,47647,Marquinhos,4-2-2-2,Ruddy Buquet,Match Report,,21,9,18.7,1,0,0,2024,Paris Saint Germain
15,11/11/2023,17:00,Ligue 1,Matchweek 12,Sat,Away,W,3,0,Reims,2.3,1.3,61,20500,Marquinhos,4-2-2-2,Willy Delajod,Match Report,,14,6,16,0,0,0,2024,Paris Saint Germain
16,11/24/2023,21:00,Ligue 1,Matchweek 13,Fri,Home,W,5,2,Monaco,2.6,1.6,54,47896,Kylian Mbappé,3/3/2004,Benoît Bastien,Match Report,,15,10,16.2,0,1,1,2024,Paris Saint Germain
18,12/3/2023,13:00,Ligue 1,Matchweek 14,Sun,Away,W,2,0,Le Havre,1.2,2,39,23718,Kylian Mbappé,3/3/2004,Bastien Dechepy,Match Report,,9,5,18.2,0,0,0,2024,Paris Saint Germain
19,12/9/2023,21:00,Ligue 1,Matchweek 15,Sat,Home,W,2,1,Nantes,2,0.5,65,47926,Marquinhos,3/3/2004,Jérôme Brisard,Match Report,,16,6,15.3,0,0,0,2024,Paris Saint Germain
21,12/17/2023,20:45,Ligue 1,Matchweek 16,Sun,Away,D,1,1,Lille,1.4,1.4,59,47993,Marquinhos,4/3/2003,Willy Delajod,Match Report,,9,1,18.2,0,1,1,2024,Paris Saint Germain
22,12/20/2023,21:00,Ligue 1,Matchweek 17,Wed,Home,W,3,1,Metz,2.4,0.1,74,48229,Marquinhos,4/3/2003,Ruddy Buquet,Match Report,,13,5,16.8,1,0,0,2024,Paris Saint Germain
25,1/14/2024,20:45,Ligue 1,Matchweek 18,Sun,Away,W,2,0,Lens,1.8,2.1,65,38200,Marquinhos,3/3/2004,Jérôme Brisard,Match Report,,15,7,16.4,1,0,0,2024,Paris Saint Germain
27,1/28/2024,20:45,Ligue 1,Matchweek 19,Sun,Home,D,2,2,Brest,2.1,0.7,54,47000,Kylian Mbappé,3/3/2004,Clément Turpin,Match Report,,10,4,14.1,0,0,0,2024,Paris Saint Germain
28,2/2/2024,21:00,Ligue 1,Matchweek 20,Fri,Away,W,2,1,Strasbourg,2,2.7,62,25834,Marquinhos,3/3/2004,Ruddy Buquet,Match Report,,8,4,23.7,0,0,1,2024,Paris Saint Germain
30,2/10/2024,21:00,Ligue 1,Matchweek 21,Sat,Home,W,3,1,Lille,2.8,1.2,52,47000,Danilo Pereira,4-1-4-1,François Letexier,Match Report,,16,8,18,1,0,0,2024,Paris Saint Germain
32,2/17/2024,21:00,Ligue 1,Matchweek 22,Sat,Away,W,2,0,Nantes,1.5,1.3,77,34038,Marquinhos,3/3/2004,Jérôme Brisard,Match Report,,11,1,19.5,0,1,1,2024,Paris Saint Germain
33,2/25/2024,17:05,Ligue 1,Matchweek 23,Sun,Home,D,1,1,Rennes,1.9,0.8,66,47874,Kylian Mbappé,3/3/2004,Bastien Dechepy,Match Report,,14,2,19.8,1,1,1,2024,Paris Saint Germain
34,3/1/2024,21:00,Ligue 1,Matchweek 24,Fri,Away,D,0,0,Monaco,1.5,1.6,68,,Kylian Mbappé,3/3/2004,Ruddy Buquet,Match Report,,14,7,17.9,1,0,0,2024,Paris Saint Germain
0,8/13/2023,13:00,Ligue 1,Matchweek 1,Sun,Home,W,3,2,Lens,2.5,0.7,48,15085,Brendan Chardonnet,4-2-3-1,Jérémie Pignard,Match Report,,13,6,20.9,1,2,2,2024,Brest
1,8/20/2023,15:00,Ligue 1,Matchweek 2,Sun,Away,W,2,1,Le Havre,1.1,1.2,44,19574,Brendan Chardonnet,3/3/2004,Florent Batta,Match Report,,10,5,15.4,0,0,0,2024,Brest
2,8/26/2023,19:00,Ligue 1,Matchweek 3,Sat,Away,L,0,2,Marseille,1.5,2.9,56,63592,Brendan Chardonnet,3/3/2004,Jeremy Stinat,Match Report,,18,6,16.7,0,0,0,2024,Brest
3,9/2/2023,17:00,Ligue 1,Matchweek 4,Sat,Home,D,0,0,Rennes,1.4,0.3,48,15021,Brendan Chardonnet,4-2-3-1,Hakim Ben El Hadj Salem,Match Report,,13,2,17.4,1,0,0,2024,Brest
4,9/17/2023,15:00,Ligue 1,Matchweek 5,Sun,Away,W,2,1,Reims,1.5,1.7,48,12948,Brendan Chardonnet,3/3/2004,Gaël Angoula,Match Report,,18,5,17.5,1,0,0,2024,Brest
5,9/23/2023,21:00,Ligue 1,Matchweek 6,Sat,Home,W,1,0,Lyon,2.4,0.4,57,14636,Brendan Chardonnet,4-2-3-1,Thomas Léonard,Match Report,,27,11,15.6,0,0,0,2024,Brest
6,10/1/2023,15:00,Ligue 1,Matchweek 7,Sun,Away,D,0,0,Nice,0.2,1.1,46,32044,Brendan Chardonnet,4-2-3-1,Romain Lissorgue,Match Report,,7,2,28.9,1,0,0,2024,Brest
7,10/8/2023,15:00,Ligue 1,Matchweek 8,Sun,Home,D,1,1,Toulouse,1.5,1.2,55,13549,Brendan Chardonnet,4-2-3-1,Pierre Gaillouste,Match Report,,13,2,15.4,0,0,0,2024,Brest
8,10/22/2023,15:00,Ligue 1,Matchweek 9,Sun,Away,L,0,1,Lille,0.8,1.6,57,34358,Brendan Chardonnet,3/3/2004,Hakim Ben El Hadj Salem,Match Report,,9,1,18.4,1,0,0,2024,Brest
9,10/29/2023,13:00,Ligue 1,Matchweek 10,Sun,Home,L,2,3,Paris S-G,1.8,2.1,44,15183,Brendan Chardonnet,4-2-3-1,Jérôme Brisard,Match Report,,21,5,16.2,0,0,0,2024,Brest
10,11/5/2023,17:05,Ligue 1,Matchweek 11,Sun,Away,L,0,2,Monaco,0.8,0.8,54,9244,Brendan Chardonnet,3/3/2004,Eric Wattellier,Match Report,,15,1,17,0,0,0,2024,Brest
11,11/26/2023,15:00,Ligue 1,Matchweek 13,Sun,Away,W,3,1,Montpellier,1.7,1.7,47,12311,Brendan Chardonnet,3/3/2004,Pierre Gaillouste,Match Report,,17,5,16.6,0,0,0,2024,Brest
12,12/3/2023,15:00,Ligue 1,Matchweek 14,Sun,Home,W,3,0,Clermont Foot,1.4,0.8,57,14324,Brendan Chardonnet,3/3/2004,Marc Bollengier,Match Report,,11,6,22.4,0,1,1,2024,Brest
13,12/7/2023,20:30,Ligue 1,Matchweek 12,Thu,Home,D,1,1,Strasbourg,1.1,1.5,61,14569,Hugo Magnetti,3/3/2004,Jérémie Pignard,Match Report,,13,3,17,0,0,0,2024,Brest
14,12/10/2023,15:00,Ligue 1,Matchweek 15,Sun,Away,W,1,0,Metz,0.3,0.2,67,20157,Brendan Chardonnet,3/3/2004,Romain Lissorgue,Match Report,,4,3,17.2,0,0,0,2024,Brest
15,12/17/2023,13:00,Ligue 1,Matchweek 16,Sun,Away,W,2,0,Nantes,1.9,1,49,30075,Brendan Chardonnet,3/3/2004,Benoît Millot,Match Report,,14,7,13.9,0,0,0,2024,Brest
16,12/20/2023,21:00,Ligue 1,Matchweek 17,Wed,Home,W,4,0,Lorient,2,0.5,59,14544,Brendan Chardonnet,3/3/2004,Mathieu Vernice,Match Report,,11,7,17.7,0,0,0,2024,Brest
18,1/14/2024,15:00,Ligue 1,Matchweek 18,Sun,Home,W,2,0,Montpellier,3.4,0.4,65,12712,Brendan Chardonnet,3/3/2004,Jérémie Pignard,Match Report,,26,9,16.9,0,0,0,2024,Brest
